GRAND_ID: 7181
DAM_NAME: 100.764486
LONG: 100.764486
LAT: 22.052102
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.14
2.0;0.21;0.47
3.0;0.48;1.06
4.0;0.74;1.92
5.0;0.74;2.78
6.0;1.28;4.18
7.0;1.47;5.76
8.0;2.21;8.09
9.0;2.52;10.72
10.0;3.7;14.54
11.0;3.81;18.47
12.0;4.91;23.49
13.0;5.37;28.97
14.0;6.7;35.79
15.0;6.87;42.77
16.0;8.31;51.2
17.0;9.1;60.42
18.0;10.79;71.32
19.0;11.37;82.81
20.0;12.96;95.89
21.0;13.11;109.11
22.0;14.67;123.9
23.0;15.27;139.28
24.0;16.79;156.19
25.0;17.48;173.78
26.0;18.82;192.72
27.0;18.96;211.79
28.0;20.35;232.26
29.0;20.75;253.12
30.0;22.0;275.24
31.0;22.17;297.52
32.0;23.79;321.43
33.0;24.46;346.01
34.0;26.35;372.47
35.0;27.13;399.71
36.0;29.13;428.96
37.0;29.13;458.21
38.0;30.92;489.25
39.0;31.77;521.13
40.0;33.65;554.9
41.0;34.46;589.47
42.0;36.34;625.93
43.0;36.89;662.94
44.0;38.63;701.68
45.0;39.47;741.26
46.0;41.29;782.67
47.0;41.43;824.22
48.0;43.21;867.55
49.0;43.82;911.49
50.0;45.65;957.25
51.0;46.09;1003.46
52.0;47.48;1051.06
53.0;47.87;1099.05
54.0;49.05;1148.22
55.0;49.88;1198.22
56.0;51.29;1249.62
57.0;51.87;1301.61
58.0;52.99;1354.71
59.0;53.76;1408.59
60.0;55.23;1463.94
61.0;55.72;1519.78
62.0;57.1;1576.99
63.0;57.24;1634.35
64.0;58.67;1693.14
65.0;59.01;1752.26
66.0;60.34;1812.72
67.0;60.81;1873.65
68.0;61.8;1935.57
69.0;62.01;1997.7
70.0;62.97;2060.79
71.0;63.12;2124.02
72.0;64.09;2188.23
73.0;64.3;2252.65
74.0;65.15;2317.92
75.0;65.41;2383.44
76.0;66.36;2449.91
77.0;66.76;2516.79
78.0;67.57;2584.48
79.0;67.84;2652.44
80.0;68.39;2720.95
81.0;68.76;2789.82
82.0;69.42;2859.35
83.0;69.75;2929.22
84.0;70.34;2999.67
85.0;70.6;3070.39
86.0;71.0;3141.5
87.0;71.24;3212.86
