GRAND_ID: 613
DAM_NAME: -106.317485
LONG: -106.317485
LAT: 35.61975
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.17;0.31
2.0;0.38;0.82
3.0;0.75;1.72
4.0;1.2;3.06
5.0;1.65;4.86
6.0;2.02;7.01
7.0;2.39;9.54
8.0;2.65;12.34
9.0;2.96;15.44
10.0;3.25;18.83
11.0;3.58;22.55
12.0;3.84;26.53
13.0;4.14;30.81
14.0;4.37;35.32
15.0;4.61;40.07
16.0;4.81;45.03
17.0;4.98;50.15
18.0;5.12;55.42
19.0;5.26;60.82
20.0;5.38;66.34
21.0;5.47;71.95
22.0;5.54;77.64
23.0;5.62;83.4
24.0;5.69;89.23
25.0;5.76;95.13
26.0;5.85;101.12
27.0;5.91;107.17
28.0;5.97;113.28
29.0;6.03;119.46
30.0;6.07;125.67
31.0;6.11;131.91
32.0;6.14;138.19
33.0;6.17;144.5
34.0;6.19;150.83
35.0;6.21;157.18
36.0;6.23;163.54
37.0;6.24;169.93
