GRAND_ID: 2335
DAM_NAME: -68.680208
LONG: -68.680208
LAT: -35.027802
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.48;0.87
2.0;0.88;2.15
3.0;1.27;3.81
4.0;1.74;5.94
5.0;2.28;8.62
6.0;2.82;11.83
7.0;3.3;15.53
8.0;3.8;19.73
9.0;4.26;24.38
10.0;4.72;29.5
11.0;5.19;35.08
12.0;5.68;41.16
13.0;6.11;47.66
14.0;6.57;54.63
15.0;7.06;62.08
16.0;7.62;70.09
17.0;8.3;78.79
18.0;9.37;88.56
19.0;10.52;99.47
20.0;13.51;113.37
21.0;16.83;130.6
22.0;24.49;155.49
23.0;31.88;187.76
24.0;38.41;226.56
25.0;43.62;270.58
26.0;49.35;320.33
27.0;54.46;375.18
28.0;59.94;435.51
29.0;65.69;501.6
30.0;72.24;574.24
31.0;77.36;651.99
32.0;82.52;734.91
33.0;87.6;822.9
34.0;91.84;915.13
35.0;95.07;1010.6
36.0;97.85;1108.84
