GRAND_ID: 4576
DAM_NAME: 32.143353
LONG: 32.143353
LAT: -23.872949
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.2;0.34
2.0;0.51;0.99
3.0;0.81;1.94
4.0;1.27;3.35
5.0;1.85;5.34
6.0;3.52;8.99
7.0;4.64;13.77
8.0;5.78;19.68
9.0;6.89;26.72
10.0;8.71;35.56
11.0;10.69;46.39
12.0;14.57;61.1
13.0;17.24;78.48
14.0;20.45;99.06
15.0;23.1;122.3
16.0;26.38;148.81
17.0;29.05;178.0
18.0;33.16;211.29
19.0;40.74;252.17
20.0;53.65;305.96
21.0;64.22;370.31
22.0;73.8;444.25
23.0;80.7;525.09
24.0;87.68;612.91
25.0;93.28;706.34
26.0;99.5;805.97
27.0;104.47;910.58
28.0;109.96;1020.67
29.0;114.25;1135.07
30.0;118.72;1253.92
31.0;122.61;1376.67
32.0;126.48;1503.29
33.0;129.32;1632.74
34.0;133.29;1766.18
35.0;135.33;1901.65
36.0;137.98;2039.77
37.0;139.36;2179.27
38.0;140.83;2320.23
39.0;141.71;2462.08
40.0;142.58;2604.8
41.0;143.11;2748.04
42.0;143.82;2892.0
