GRAND_ID: 4321
DAM_NAME: 24.617143
LONG: 24.617143
LAT: -33.745313
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.14
2.0;0.08;0.34
3.0;0.1;0.55
4.0;0.18;0.85
5.0;0.2;1.16
6.0;0.24;1.52
7.0;0.3;1.93
8.0;0.36;2.41
9.0;0.38;2.9
10.0;0.47;3.48
11.0;0.51;4.11
12.0;0.57;4.8
13.0;0.61;5.53
14.0;0.68;6.32
15.0;0.75;7.18
16.0;0.81;8.1
17.0;0.86;9.08
18.0;0.94;10.13
19.0;0.97;11.21
20.0;1.06;12.38
21.0;1.11;13.61
22.0;1.17;14.89
23.0;1.22;16.22
24.0;1.36;17.7
25.0;1.46;19.28
26.0;1.78;21.17
27.0;2.1;23.38
28.0;2.4;25.9
29.0;2.61;28.62
30.0;3.33;32.06
31.0;3.55;35.72
32.0;3.94;39.77
33.0;3.98;43.87
34.0;4.29;48.28
35.0;4.48;52.87
36.0;4.73;57.72
37.0;4.83;62.66
38.0;4.98;67.75
