GRAND_ID: 693
DAM_NAME: -105.01624
LONG: -105.01624
LAT: 25.592516
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.49;0.87
2.0;1.37;2.62
3.0;2.57;5.56
4.0;3.62;9.57
5.0;5.15;15.09
6.0;6.58;22.05
7.0;8.69;31.12
8.0;9.95;41.45
9.0;11.43;53.26
10.0;12.89;66.52
11.0;14.76;81.66
12.0;16.5;98.54
13.0;18.5;117.42
14.0;20.21;138.01
15.0;22.87;161.26
16.0;24.59;186.23
17.0;26.6;213.21
18.0;28.4;241.98
19.0;30.15;272.52
20.0;31.84;304.73
21.0;33.7;338.81
22.0;34.96;374.15
23.0;37.11;411.64
24.0;38.58;450.6
25.0;40.65;491.63
26.0;42.05;534.06
27.0;44.22;578.66
28.0;46.15;625.19
29.0;48.38;673.95
30.0;49.83;724.16
31.0;52.37;776.91
32.0;54.19;831.48
33.0;57.21;889.07
34.0;59.17;948.62
35.0;61.09;1010.08
36.0;62.47;1072.93
37.0;63.93;1137.25
38.0;64.91;1202.54
39.0;65.78;1268.69
40.0;66.47;1335.54
41.0;67.37;1403.29
42.0;67.91;1471.57
43.0;68.51;1540.46
44.0;69.0;1609.84
45.0;69.58;1679.81
46.0;70.02;1750.2
47.0;70.49;1821.07
48.0;70.92;1892.37
49.0;71.35;1964.1
50.0;71.66;2036.14
51.0;72.03;2108.55
52.0;72.33;2181.26
53.0;72.63;2254.26
54.0;72.84;2327.48
55.0;73.06;2400.92
56.0;73.3;2474.6
57.0;73.52;2548.5
58.0;73.64;2622.52
59.0;73.81;2696.71
60.0;73.98;2771.07
61.0;74.13;2845.58
62.0;74.22;2920.17
63.0;74.37;2994.92
