GRAND_ID: 5667
DAM_NAME: 119.238455
LONG: 119.238455
LAT: 25.61212
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.13
2.0;0.06;0.3
3.0;0.09;0.49
4.0;0.14;0.74
5.0;0.16;1.0
6.0;0.21;1.32
7.0;0.24;1.67
8.0;0.3;2.07
9.0;0.33;2.51
10.0;0.39;3.01
11.0;0.42;3.53
12.0;0.45;4.08
13.0;0.48;4.67
14.0;0.52;5.29
15.0;0.53;5.93
16.0;0.56;6.6
17.0;0.58;7.29
18.0;0.61;8.01
19.0;0.65;8.76
20.0;0.68;9.55
21.0;0.73;10.38
22.0;0.77;11.25
23.0;0.81;12.17
24.0;0.89;13.16
25.0;0.92;14.19
26.0;0.99;15.29
27.0;1.02;16.41
28.0;1.06;17.58
29.0;1.1;18.78
30.0;1.14;20.03
31.0;1.17;21.31
32.0;1.23;22.65
33.0;1.26;24.02
34.0;1.31;25.43
35.0;1.33;26.86
