GRAND_ID: 176
DAM_NAME: -120.309375
LONG: -120.309375
LAT: 39.001324
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.12
2.0;0.04;0.26
3.0;0.09;0.45
4.0;0.14;0.69
5.0;0.26;1.05
6.0;0.38;1.53
7.0;0.52;2.16
8.0;0.65;2.91
9.0;0.78;3.79
10.0;0.88;4.78
11.0;0.99;5.87
12.0;1.1;7.07
13.0;1.25;8.43
14.0;1.4;9.93
15.0;1.55;11.58
16.0;1.69;13.37
17.0;1.8;15.27
18.0;1.94;17.32
19.0;2.08;19.5
20.0;2.18;21.78
21.0;2.29;24.18
22.0;2.38;26.66
23.0;2.48;29.24
24.0;2.57;31.91
25.0;2.67;34.69
26.0;2.74;37.53
27.0;2.84;40.48
28.0;2.94;43.52
29.0;3.06;46.68
30.0;3.13;49.91
31.0;3.24;53.26
32.0;3.32;56.68
33.0;3.42;60.19
34.0;3.54;63.83
35.0;3.7;67.63
36.0;3.82;71.55
37.0;3.93;75.58
38.0;4.03;79.71
39.0;4.16;83.97
40.0;4.26;88.33
41.0;4.38;92.81
42.0;4.46;97.38
43.0;4.57;102.05
44.0;4.65;106.8
45.0;4.74;111.65
46.0;4.84;116.59
