GRAND_ID: 6707
DAM_NAME: 151.434907
LONG: 151.434907
LAT: -26.09538
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.16
2.0;0.14;0.42
3.0;0.2;0.75
4.0;0.33;1.2
5.0;0.37;1.69
6.0;0.49;2.3
7.0;0.56;2.99
8.0;0.7;3.81
9.0;0.8;4.73
10.0;0.98;5.84
11.0;1.09;7.05
12.0;1.34;8.51
13.0;1.48;10.11
14.0;1.73;11.96
15.0;1.9;13.98
16.0;3.04;17.14
17.0;4.18;21.44
18.0;6.59;28.15
19.0;7.75;36.03
20.0;9.37;45.52
21.0;10.21;55.85
22.0;11.63;67.6
23.0;12.37;80.09
24.0;13.42;93.63
25.0;13.94;107.69
