GRAND_ID: 2041
DAM_NAME: -66.872917
LONG: -66.872917
LAT: 45.947917
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.1;0.29
2.0;0.26;0.74
3.0;0.68;1.6
4.0;1.14;2.94
5.0;1.52;4.65
6.0;1.92;6.76
7.0;2.37;9.31
8.0;3.17;12.68
9.0;3.92;16.79
10.0;4.63;21.61
11.0;5.63;27.43
12.0;6.54;34.16
13.0;7.67;42.02
14.0;8.83;51.03
15.0;10.27;61.5
16.0;12.34;74.03
17.0;13.7;87.92
18.0;15.67;103.78
19.0;17.32;121.28
20.0;19.54;141.01
21.0;21.49;162.68
22.0;24.18;187.05
23.0;27.01;214.25
24.0;30.9;245.33
25.0;35.0;280.52
26.0;39.1;319.8
27.0;42.52;362.51
28.0;46.3;409.0
29.0;49.13;458.32
30.0;52.16;510.66
31.0;55.18;566.03
32.0;57.97;624.19
33.0;60.51;684.89
34.0;63.02;748.11
35.0;64.8;813.1
36.0;67.16;880.44
37.0;68.84;949.47
38.0;70.79;1020.45
39.0;72.06;1092.69
40.0;73.32;1166.2
41.0;74.38;1240.77
42.0;75.4;1316.36
43.0;76.14;1392.69
44.0;76.94;1469.82
45.0;77.47;1547.48
46.0;77.96;1625.63
