GRAND_ID: 7128
DAM_NAME: 39.897601
LONG: 39.897601
LAT: 39.085473
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.07;0.21
2.0;0.11;0.47
3.0;0.18;0.8
4.0;0.25;1.19
5.0;0.34;1.67
6.0;0.39;2.2
7.0;0.5;2.85
8.0;0.54;3.54
9.0;0.64;4.32
10.0;0.69;5.16
11.0;0.76;6.06
12.0;0.83;7.04
13.0;0.89;8.07
14.0;0.92;9.13
15.0;1.0;10.28
16.0;1.04;11.47
17.0;1.11;12.73
18.0;1.14;14.01
19.0;1.23;15.39
20.0;1.28;16.81
21.0;1.4;18.36
22.0;1.52;20.03
23.0;1.66;21.84
24.0;1.83;23.81
25.0;2.16;26.11
26.0;2.3;28.56
27.0;2.61;31.31
28.0;2.76;34.21
29.0;3.09;37.45
30.0;3.24;40.84
31.0;3.44;44.42
32.0;3.65;48.22
33.0;3.9;52.26
34.0;4.08;56.49
35.0;4.39;61.02
36.0;4.53;65.7
37.0;4.77;70.61
38.0;4.86;75.62
39.0;5.15;80.91
40.0;5.33;86.39
41.0;5.74;92.27
42.0;5.93;98.35
43.0;6.18;104.68
44.0;6.35;111.18
45.0;6.74;118.06
46.0;6.84;125.04
47.0;7.1;132.29
48.0;7.22;139.66
49.0;7.64;147.44
50.0;7.81;155.39
51.0;8.11;163.65
52.0;8.38;172.18
53.0;8.76;181.08
54.0;9.07;190.3
55.0;9.54;199.98
56.0;9.76;209.89
57.0;10.14;220.18
58.0;10.48;230.8
59.0;10.9;241.85
60.0;11.16;253.15
61.0;11.54;264.84
62.0;11.86;276.84
63.0;12.17;289.16
64.0;12.35;301.66
65.0;12.8;314.6
66.0;12.94;327.69
67.0;13.26;341.09
68.0;13.53;354.77
69.0;13.82;368.74
70.0;13.99;382.87
71.0;14.21;397.23
72.0;14.42;411.79
73.0;14.62;426.55
74.0;14.73;441.42
75.0;14.96;456.53
76.0;15.06;471.73
