GRAND_ID: 1883
DAM_NAME: -83.157149
LONG: -83.157149
LAT: 33.352754
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.17
2.0;0.11;0.41
3.0;0.16;0.69
4.0;0.22;1.04
5.0;0.51;1.67
6.0;1.05;2.85
7.0;2.04;5.02
8.0;3.03;8.17
9.0;4.31;12.61
10.0;5.12;17.85
11.0;6.15;24.12
12.0;7.34;31.58
13.0;10.53;42.23
14.0;13.09;55.45
15.0;16.11;71.68
16.0;19.16;90.96
17.0;28.92;120.01
18.0;39.09;159.23
19.0;49.18;208.52
20.0;56.48;265.13
21.0;65.63;330.88
22.0;72.85;403.86
23.0;81.2;485.19
24.0;88.11;573.42
25.0;96.88;670.42
26.0;102.46;773.01
27.0;108.8;881.93
28.0;112.43;994.49
