GRAND_ID: 7082
DAM_NAME: 109.038496
LONG: 109.038496
LAT: 30.732171
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.15
2.0;0.07;0.35
3.0;0.1;0.59
4.0;0.18;0.9
5.0;0.21;1.24
6.0;0.32;1.7
7.0;0.36;2.19
8.0;0.47;2.79
9.0;0.58;3.51
10.0;0.69;4.34
11.0;0.76;5.23
12.0;0.89;6.25
13.0;0.98;7.36
14.0;1.18;8.67
15.0;1.27;10.08
16.0;1.49;11.7
17.0;1.58;13.41
18.0;1.75;15.29
19.0;1.87;17.3
20.0;2.0;19.43
21.0;2.13;21.69
22.0;2.25;24.07
23.0;2.34;26.54
24.0;2.45;29.12
25.0;2.54;31.79
26.0;2.68;34.61
27.0;2.8;37.54
28.0;2.93;40.61
29.0;2.99;43.73
30.0;3.14;47.0
31.0;3.21;50.35
32.0;3.38;53.86
33.0;3.47;57.46
34.0;3.63;61.23
35.0;3.69;65.05
36.0;3.8;68.98
37.0;3.88;72.99
38.0;3.99;77.12
39.0;4.07;81.32
40.0;4.18;85.64
41.0;4.23;90.0
42.0;4.35;94.48
