GRAND_ID: 7223
DAM_NAME: 89.834161
LONG: 89.834161
LAT: 28.847027
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.0;0.29
2.0;0.0;0.59
3.0;0.0;0.88
4.0;0.19;1.37
5.0;0.19;1.85
6.0;0.19;2.34
7.0;0.19;2.82
8.0;0.38;3.5
9.0;0.38;4.18
10.0;0.38;4.85
11.0;0.38;5.53
12.0;0.64;6.46
13.0;0.64;7.39
14.0;0.64;8.32
15.0;0.64;9.25
16.0;1.08;10.62
17.0;1.08;12.0
18.0;1.08;13.37
19.0;1.08;14.74
20.0;1.46;16.49
21.0;1.46;18.25
22.0;1.46;20.0
23.0;1.46;21.75
24.0;2.03;24.07
25.0;2.03;26.4
26.0;2.03;28.72
27.0;2.03;31.05
28.0;2.44;33.78
29.0;2.44;36.51
30.0;2.44;39.24
31.0;2.44;41.97
32.0;2.84;45.1
33.0;2.84;48.24
34.0;2.84;51.38
35.0;2.84;54.52
36.0;3.44;58.26
37.0;3.44;61.99
38.0;3.44;65.73
39.0;3.44;69.47
40.0;4.02;73.78
41.0;4.02;78.09
42.0;4.02;82.4
43.0;4.02;86.71
44.0;4.57;91.57
45.0;4.57;96.44
46.0;4.57;101.3
47.0;4.57;106.16
48.0;5.0;111.46
49.0;5.0;116.75
50.0;5.0;122.04
51.0;5.0;127.33
52.0;5.34;132.97
53.0;5.34;138.6
54.0;5.34;144.24
55.0;5.34;149.88
56.0;5.69;155.86
57.0;5.69;161.85
58.0;5.69;167.83
59.0;5.69;173.82
60.0;5.92;180.03
61.0;5.92;186.24
62.0;5.92;192.45
63.0;5.92;198.67
