GRAND_ID: 3380
DAM_NAME: 4.044792
LONG: 4.044792
LAT: 45.98455
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.16
2.0;0.09;0.39
3.0;0.13;0.66
4.0;0.2;1.0
5.0;0.23;1.37
6.0;0.3;1.81
7.0;0.33;2.27
8.0;0.39;2.8
9.0;0.42;3.36
10.0;0.48;3.97
11.0;0.52;4.63
12.0;0.62;5.39
13.0;0.71;6.23
14.0;0.94;7.32
15.0;1.14;8.59
16.0;1.51;10.24
17.0;1.74;12.12
18.0;2.26;14.51
19.0;2.49;17.15
20.0;2.98;20.27
21.0;3.24;23.65
22.0;3.61;27.4
23.0;3.82;31.36
24.0;4.15;35.64
25.0;4.32;40.1
26.0;4.58;44.82
27.0;4.68;49.64
28.0;4.92;54.7
29.0;5.03;59.86
30.0;5.2;65.2
