GRAND_ID: 7318
DAM_NAME: -85.944131
LONG: -85.944131
LAT: 36.29222
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.15
2.0;0.08;0.35
3.0;0.2;0.66
4.0;0.34;1.11
5.0;0.61;1.84
6.0;0.87;2.82
7.0;1.49;4.42
8.0;2.02;6.55
9.0;2.71;9.37
10.0;3.27;12.76
11.0;4.15;17.02
12.0;4.89;22.02
13.0;6.13;28.26
14.0;7.34;35.71
15.0;8.81;44.64
16.0;10.3;55.05
17.0;12.09;67.26
18.0;13.6;80.97
19.0;16.31;97.4
20.0;17.87;115.38
21.0;22.18;137.68
22.0;25.17;162.96
23.0;29.26;192.33
24.0;31.9;224.34
25.0;35.67;260.13
26.0;37.56;297.8
27.0;41.24;339.16
28.0;44.09;383.36
29.0;49.32;432.78
30.0;52.87;485.77
31.0;58.15;544.03
32.0;62.58;606.73
33.0;70.13;676.97
34.0;76.46;753.54
35.0;83.39;837.05
36.0;86.03;923.19
