GRAND_ID: 4394
DAM_NAME: 32.665851
LONG: 32.665851
LAT: 40.495655
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.01;0.11
2.0;0.03;0.25
3.0;0.04;0.4
4.0;0.07;0.58
5.0;0.09;0.78
6.0;0.13;1.02
7.0;0.14;1.27
8.0;0.23;1.61
9.0;0.3;2.02
10.0;0.44;2.57
11.0;0.47;3.15
12.0;0.57;3.83
13.0;0.61;4.55
14.0;0.7;5.36
15.0;0.75;6.22
16.0;0.83;7.16
17.0;0.89;8.16
18.0;0.97;9.24
19.0;1.01;10.35
20.0;1.07;11.53
21.0;1.1;12.74
22.0;1.17;14.01
23.0;1.2;15.32
24.0;1.26;16.69
25.0;1.3;18.09
26.0;1.37;19.57
27.0;1.39;21.07
28.0;1.46;22.64
29.0;1.49;24.24
30.0;1.55;25.89
31.0;1.58;27.58
32.0;1.62;29.31
33.0;1.65;31.07
34.0;1.68;32.86
35.0;1.7;34.67
36.0;1.74;36.51
37.0;1.75;38.38
38.0;1.77;40.26
39.0;1.78;42.15
40.0;1.79;44.05
41.0;1.8;45.95
