GRAND_ID: 4609
DAM_NAME: 30.52206
LONG: 30.52206
LAT: -26.99352
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.55;0.71
2.0;1.02;1.89
3.0;1.59;3.64
4.0;2.73;6.53
5.0;4.02;10.71
6.0;5.29;16.16
7.0;7.07;23.38
8.0;8.45;31.99
9.0;11.08;43.23
10.0;13.87;57.27
11.0;16.91;74.34
12.0;19.87;94.37
13.0;23.71;118.24
14.0;26.95;145.35
15.0;30.8;176.31
16.0;34.2;210.68
17.0;38.37;249.21
18.0;42.91;292.28
19.0;47.32;339.76
20.0;50.91;390.82
21.0;53.36;444.35
22.0;55.05;499.56
23.0;56.02;555.73
24.0;56.53;612.43
