GRAND_ID: 6213
DAM_NAME: 141.907306
LONG: 141.907306
LAT: 44.064909
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.06;0.17
2.0;0.08;0.37
3.0;0.12;0.6
4.0;0.14;0.85
5.0;0.18;1.15
6.0;0.22;1.48
7.0;0.27;1.86
8.0;0.34;2.31
9.0;0.45;2.88
10.0;0.53;3.52
11.0;0.59;4.23
12.0;0.65;5.0
13.0;0.73;5.84
14.0;0.79;6.75
15.0;0.92;7.78
16.0;1.03;8.92
17.0;1.11;10.14
18.0;1.18;11.43
19.0;1.24;12.79
20.0;1.29;14.19
21.0;1.32;15.63
22.0;1.35;17.1
23.0;1.38;18.59
24.0;1.4;20.1
25.0;1.41;21.63
26.0;1.43;23.17
27.0;1.44;24.72
