GRAND_ID: 5704
DAM_NAME: 116.597216
LONG: 116.597216
LAT: 24.661098
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.15
2.0;0.11;0.37
3.0;0.18;0.65
4.0;0.25;1.01
5.0;0.29;1.4
6.0;0.39;1.9
7.0;0.45;2.46
8.0;0.56;3.13
9.0;0.61;3.85
10.0;0.87;4.83
11.0;1.04;5.97
12.0;1.34;7.42
13.0;1.65;9.17
14.0;2.05;11.34
15.0;2.33;13.77
16.0;2.71;16.58
17.0;3.11;19.8
18.0;3.61;23.52
19.0;4.01;27.64
20.0;4.79;32.53
21.0;5.51;38.15
22.0;6.7;44.96
23.0;7.42;52.48
24.0;8.86;61.45
25.0;10.07;71.63
26.0;11.56;83.3
27.0;13.14;96.54
28.0;14.62;111.27
29.0;15.82;127.2
30.0;17.58;144.89
31.0;18.8;163.8
32.0;20.45;184.36
33.0;21.4;205.87
34.0;22.82;228.8
35.0;24.05;252.96
36.0;25.51;278.58
37.0;26.44;305.13
38.0;28.06;333.3
39.0;29.01;362.41
40.0;30.8;393.32
41.0;31.77;425.2
42.0;33.09;458.4
43.0;34.2;492.7
44.0;35.62;528.44
45.0;37.11;565.65
46.0;39.45;605.21
47.0;40.97;646.29
48.0;42.99;689.39
49.0;44.86;734.36
50.0;46.81;781.28
51.0;48.18;829.57
52.0;50.13;879.82
53.0;51.47;931.39
