GRAND_ID: 1326
DAM_NAME: -103.774404
LONG: -103.774404
LAT: 25.269193
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.09;0.22
2.0;0.2;0.55
3.0;0.41;1.08
4.0;0.87;2.08
5.0;2.14;4.35
6.0;3.26;7.74
7.0;5.45;13.32
8.0;6.95;20.4
9.0;9.57;30.1
10.0;11.53;41.76
11.0;13.32;55.21
12.0;14.51;69.85
13.0;15.63;85.61
14.0;16.39;102.13
15.0;17.21;119.47
16.0;17.7;137.29
17.0;18.16;155.59
18.0;18.44;174.16
19.0;18.73;193.02
20.0;18.92;212.07
21.0;19.08;231.28
22.0;19.18;250.58
23.0;19.31;270.03
24.0;19.39;289.54
25.0;19.47;309.14
26.0;19.52;328.79
27.0;19.59;348.51
28.0;19.62;368.25
29.0;19.67;388.05
30.0;19.71;407.89
31.0;19.75;427.76
32.0;19.77;447.67
33.0;19.8;467.59
34.0;19.82;487.55
