GRAND_ID: 6689
DAM_NAME: 146.639583
LONG: 146.639583
LAT: -42.214321
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.03;0.2
2.0;0.11;0.49
3.0;0.14;0.8
4.0;0.21;1.18
5.0;0.24;1.6
6.0;0.32;2.1
7.0;0.36;2.63
8.0;0.46;3.27
9.0;0.51;3.95
10.0;0.6;4.72
11.0;0.63;5.53
12.0;0.72;6.41
13.0;0.76;7.35
14.0;0.86;8.38
15.0;0.9;9.45
16.0;0.99;10.61
17.0;1.04;11.82
18.0;1.11;13.11
19.0;1.16;14.44
20.0;1.26;15.87
21.0;1.31;17.35
22.0;1.4;18.93
23.0;1.45;20.55
24.0;1.55;22.28
25.0;1.59;24.04
26.0;1.69;25.9
27.0;1.73;27.8
28.0;1.85;29.83
29.0;1.9;31.9
30.0;2.03;34.1
31.0;2.09;36.36
32.0;2.24;38.77
33.0;2.3;41.24
34.0;2.43;43.84
35.0;2.5;46.51
36.0;2.64;49.33
37.0;2.7;52.2
38.0;2.85;55.22
39.0;2.93;58.32
40.0;3.07;61.56
41.0;3.14;64.88
42.0;3.33;68.38
43.0;3.39;71.95
44.0;3.57;75.69
45.0;3.65;79.51
46.0;3.81;83.5
47.0;3.89;87.56
48.0;4.1;91.84
49.0;4.19;96.19
50.0;4.4;100.76
51.0;4.48;105.42
52.0;4.7;110.29
53.0;4.8;115.26
54.0;5.07;120.5
55.0;5.18;125.85
56.0;5.41;131.43
57.0;5.5;137.11
58.0;5.74;143.02
59.0;5.82;149.01
60.0;6.04;155.22
61.0;6.14;161.53
62.0;6.33;168.03
63.0;6.44;174.64
64.0;6.66;181.48
65.0;6.73;188.38
66.0;6.97;195.52
67.0;7.06;202.76
68.0;7.28;210.21
69.0;7.34;217.73
70.0;7.56;225.46
71.0;7.65;233.28
72.0;7.85;241.3
73.0;7.94;249.42
74.0;8.15;257.74
75.0;8.24;266.16
76.0;8.54;274.87
77.0;8.65;283.7
78.0;8.95;292.83
79.0;9.08;302.08
80.0;9.42;311.68
81.0;9.57;321.42
82.0;9.97;331.56
83.0;10.13;341.86
84.0;10.56;352.59
85.0;10.72;363.48
86.0;11.15;374.81
87.0;11.37;386.35
88.0;11.91;398.43
89.0;12.16;410.76
90.0;12.81;423.75
91.0;13.13;437.05
92.0;14.02;451.25
93.0;14.35;465.77
94.0;15.31;481.25
95.0;15.77;497.2
96.0;16.97;514.35
97.0;17.53;532.05
98.0;19.02;551.24
99.0;19.67;571.08
100.0;21.42;592.67
101.0;21.98;614.83
102.0;23.47;638.47
103.0;23.99;662.64
104.0;25.19;688.0
105.0;25.6;713.78
106.0;26.54;740.49
107.0;26.88;767.55
108.0;27.89;795.61
109.0;28.3;824.08
110.0;29.74;854.0
111.0;30.06;884.22
112.0;30.73;915.12
113.0;30.97;946.26
114.0;31.53;977.96
115.0;31.73;1009.87
116.0;32.26;1042.3
117.0;32.47;1074.94
118.0;33.11;1108.22
119.0;33.29;1141.69
120.0;33.74;1175.6
121.0;33.89;1209.66
122.0;34.33;1244.16
123.0;34.48;1278.82
124.0;34.88;1313.87
125.0;35.04;1349.08
126.0;35.46;1384.72
127.0;35.59;1420.48
128.0;35.93;1456.58
129.0;36.03;1492.78
130.0;36.35;1529.31
131.0;36.46;1565.94
132.0;36.78;1602.89
133.0;36.92;1639.99
134.0;37.44;1677.59
135.0;37.65;1715.42
136.0;38.15;1753.74
137.0;38.29;1792.2
138.0;38.55;1830.93
139.0;38.64;1869.74
140.0;38.87;1908.79
141.0;38.93;1947.89
142.0;39.12;1987.19
143.0;39.19;2026.55
144.0;39.35;2066.07
145.0;39.4;2105.64
146.0;39.52;2145.34
147.0;39.57;2185.08
148.0;39.66;2224.91
149.0;39.7;2264.79
