GRAND_ID: 210
DAM_NAME: -120.419017
LONG: -120.419017
LAT: 37.70282
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.05;0.18
2.0;0.1;0.41
3.0;0.15;0.69
4.0;0.25;1.07
5.0;0.36;1.56
6.0;0.51;2.2
7.0;0.6;2.93
8.0;0.86;3.92
9.0;1.14;5.2
10.0;1.46;6.78
11.0;1.7;8.61
12.0;2.09;10.84
13.0;2.38;13.35
14.0;2.73;16.2
15.0;3.02;19.35
16.0;3.34;22.82
17.0;3.58;26.53
18.0;3.99;30.64
19.0;4.27;35.05
20.0;4.7;39.87
21.0;5.07;45.07
22.0;5.71;50.91
23.0;6.25;57.29
24.0;7.15;64.56
25.0;7.94;72.63
26.0;8.8;81.56
27.0;9.42;91.11
28.0;10.26;101.5
29.0;10.9;112.53
30.0;11.7;124.36
31.0;12.35;136.84
32.0;13.19;150.16
33.0;13.75;164.04
34.0;14.5;178.67
35.0;15.16;193.97
36.0;15.84;209.93
37.0;16.37;226.43
38.0;17.03;243.59
39.0;17.43;261.15
40.0;18.12;279.4
41.0;18.58;298.11
42.0;19.2;317.44
43.0;19.68;337.25
44.0;20.26;357.64
45.0;20.88;378.66
46.0;21.57;400.36
47.0;22.18;422.66
48.0;22.76;445.55
49.0;23.22;468.9
50.0;23.85;492.88
51.0;24.22;517.23
52.0;24.8;542.16
53.0;25.24;567.54
54.0;25.88;593.55
55.0;26.34;620.02
56.0;26.95;647.09
57.0;27.49;674.71
58.0;28.15;702.98
59.0;28.67;731.78
60.0;29.35;761.26
61.0;29.83;791.22
62.0;30.44;821.8
63.0;30.93;852.85
64.0;31.57;884.55
65.0;32.0;916.68
66.0;32.68;949.49
67.0;33.27;982.9
68.0;33.98;1017.01
69.0;34.42;1051.56
70.0;35.22;1086.91
71.0;35.87;1122.91
72.0;36.85;1159.88
73.0;37.6;1197.61
74.0;38.56;1236.29
75.0;39.2;1275.62
76.0;40.21;1315.97
77.0;41.04;1357.14
78.0;42.1;1399.36
79.0;42.98;1442.47
80.0;44.0;1486.6
81.0;44.67;1531.41
82.0;45.69;1577.22
83.0;46.47;1623.82
84.0;47.35;1671.3
85.0;47.96;1719.39
86.0;48.8;1768.32
87.0;49.41;1817.85
88.0;50.18;1868.16
89.0;50.74;1919.03
90.0;51.57;1970.73
91.0;52.07;2022.94
92.0;52.85;2075.92
93.0;53.33;2129.38
94.0;53.97;2183.47
95.0;54.41;2238.01
96.0;55.13;2293.28
97.0;55.47;2348.88
98.0;56.11;2405.11
99.0;56.4;2461.64
100.0;56.97;2518.74
101.0;57.22;2576.1
102.0;57.68;2633.91
103.0;57.89;2691.93
104.0;58.32;2750.38
105.0;58.53;2809.04
106.0;58.89;2868.06
107.0;59.02;2927.21
