GRAND_ID: 6617
DAM_NAME: 138.4198
LONG: 138.4198
LAT: -35.403529
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.17
2.0;0.1;0.4
3.0;0.15;0.68
4.0;0.22;1.04
5.0;0.28;1.44
6.0;0.36;1.93
7.0;0.41;2.47
8.0;0.47;3.06
9.0;0.51;3.7
10.0;0.57;4.41
11.0;0.62;5.15
12.0;0.67;5.95
13.0;0.73;6.81
14.0;0.8;7.74
15.0;0.87;8.74
16.0;0.95;9.82
17.0;1.02;10.97
18.0;1.11;12.21
19.0;1.18;13.53
20.0;1.31;14.97
21.0;1.39;16.49
22.0;1.48;18.1
23.0;1.56;19.79
24.0;1.64;21.56
25.0;1.7;23.39
26.0;1.76;25.28
27.0;1.79;27.2
28.0;1.83;29.16
29.0;1.84;31.13
30.0;1.88;33.14
31.0;1.89;35.16
32.0;1.91;37.2
