GRAND_ID: 4790
DAM_NAME: 76.002013
LONG: 76.002013
LAT: 42.335039
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.04;0.21
2.0;0.11;0.49
3.0;0.2;0.85
4.0;0.29;1.31
5.0;0.33;1.8
6.0;0.58;2.54
7.0;0.73;3.44
8.0;1.12;4.72
9.0;1.35;6.24
10.0;1.72;8.13
11.0;1.85;10.14
12.0;2.26;12.57
13.0;2.45;15.18
14.0;2.88;18.22
15.0;3.32;21.71
16.0;3.88;25.76
17.0;4.35;30.28
18.0;4.76;35.21
19.0;4.91;40.28
20.0;5.34;45.78
21.0;5.53;51.48
22.0;5.87;57.51
23.0;6.11;63.78
24.0;6.54;70.49
25.0;6.78;77.44
26.0;7.14;84.74
27.0;7.27;92.19
28.0;7.75;100.1
29.0;7.87;108.13
30.0;8.15;116.45
31.0;8.38;124.99
32.0;8.71;133.87
33.0;9.02;143.05
34.0;9.35;152.57
35.0;9.54;162.27
36.0;9.96;172.4
37.0;10.23;182.79
38.0;10.76;193.72
39.0;11.37;205.26
40.0;12.36;217.79
41.0;13.02;230.97
42.0;14.15;245.28
43.0;14.71;260.16
44.0;16.22;276.55
45.0;17.0;293.72
46.0;18.22;312.1
47.0;19.13;331.39
48.0;20.44;352.0
49.0;20.85;373.02
50.0;22.3;395.48
51.0;22.65;418.3
52.0;23.23;441.69
53.0;23.48;465.34
54.0;23.7;489.2
55.0;23.78;513.14
56.0;23.87;537.17
57.0;23.9;561.24
58.0;23.98;585.39
59.0;24.01;609.56
60.0;24.06;633.79
61.0;24.09;658.04
62.0;24.13;682.34
63.0;24.15;706.66
64.0;24.18;731.01
65.0;24.19;755.37
