GRAND_ID: 2369
DAM_NAME: -55.783711
LONG: -55.783711
LAT: -14.87336
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.2;0.51
2.0;0.54;1.37
3.0;1.38;3.06
4.0;2.22;5.6
5.0;2.68;8.6
6.0;3.24;12.15
7.0;3.6;16.06
8.0;4.11;20.49
9.0;4.5;25.31
10.0;5.15;30.77
11.0;5.65;36.74
12.0;6.92;43.99
13.0;7.8;52.1
14.0;10.02;62.44
15.0;11.81;74.56
16.0;13.94;88.82
17.0;15.81;104.95
18.0;18.55;123.81
19.0;20.18;144.3
20.0;24.62;169.24
21.0;27.83;197.38
22.0;35.16;232.85
23.0;39.82;272.99
24.0;48.93;322.24
25.0;56.03;378.59
26.0;65.14;444.04
27.0;68.97;513.33
28.0;74.09;587.73
29.0;76.51;664.55
30.0;80.17;745.05
31.0;81.96;827.32
32.0;84.86;912.5
33.0;86.26;999.07
34.0;88.73;1088.12
35.0;89.88;1178.31
36.0;91.77;1270.41
37.0;92.65;1363.37
38.0;94.0;1457.69
39.0;94.6;1552.6
40.0;95.52;1648.44
41.0;95.96;1744.71
42.0;96.52;1841.55
43.0;96.83;1938.7
44.0;97.2;2036.21
45.0;97.4;2133.92
