GRAND_ID: 2322
DAM_NAME: -65.034019
LONG: -65.034019
LAT: -31.86875
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.02;0.14
2.0;0.12;0.38
3.0;0.16;0.66
4.0;0.27;1.05
5.0;0.32;1.48
6.0;0.44;2.04
7.0;0.49;2.64
8.0;0.61;3.37
9.0;0.65;4.13
10.0;0.77;5.02
11.0;0.83;5.97
12.0;0.98;7.06
13.0;1.04;8.21
14.0;1.18;9.51
15.0;1.22;10.84
16.0;1.36;12.32
17.0;1.41;13.85
18.0;1.55;15.51
19.0;1.61;17.24
20.0;1.77;19.13
21.0;1.84;21.09
22.0;2.0;23.2
23.0;2.05;25.36
24.0;2.27;27.75
25.0;2.33;30.19
26.0;2.52;32.83
27.0;2.59;35.54
28.0;2.8;38.46
29.0;2.88;41.46
30.0;3.07;44.65
31.0;3.15;47.92
32.0;3.37;51.41
33.0;3.43;54.96
34.0;3.65;58.72
35.0;3.74;62.57
36.0;3.92;66.61
37.0;4.0;70.73
38.0;4.21;75.05
39.0;4.29;79.46
40.0;4.49;84.06
41.0;4.57;88.74
42.0;4.83;93.69
43.0;4.97;98.78
44.0;5.38;104.27
45.0;5.64;110.03
46.0;6.39;116.54
47.0;6.74;123.39
48.0;7.46;130.97
49.0;7.74;138.82
50.0;8.29;147.22
51.0;8.53;155.87
52.0;8.98;164.97
53.0;9.15;174.24
