GRAND_ID: 3930
DAM_NAME: 25.172917
LONG: 25.172917
LAT: 43.121533
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.15;0.28
2.0;0.43;0.85
3.0;0.71;1.69
4.0;0.86;2.69
5.0;1.01;3.82
6.0;1.11;5.07
7.0;1.27;6.48
8.0;1.42;8.03
9.0;1.64;9.81
10.0;1.78;11.72
11.0;1.95;13.81
12.0;2.32;16.26
13.0;2.87;19.26
14.0;3.24;22.64
15.0;3.82;26.59
16.0;4.32;31.05
17.0;4.7;35.88
18.0;5.08;41.09
19.0;5.65;46.87
20.0;5.91;52.92
21.0;6.25;59.3
22.0;6.51;65.94
23.0;6.84;72.91
24.0;7.06;80.1
25.0;7.27;87.5
26.0;7.4;95.03
27.0;7.5;102.67
28.0;7.57;110.37
29.0;7.63;118.14
30.0;7.68;125.95
31.0;7.74;133.82
32.0;7.77;141.71
33.0;7.79;149.64
34.0;7.81;157.58
35.0;7.83;165.55
