GRAND_ID: 1987
DAM_NAME: -80.194362
LONG: -80.194362
LAT: -4.678161
Depth(m);Area(km2);Volume(mcm)
0.0;0.0;0.0
1.0;0.1;0.32
2.0;0.31;0.85
3.0;0.51;1.59
4.0;0.88;2.69
5.0;1.12;4.04
6.0;1.48;5.74
7.0;1.77;7.74
8.0;2.21;10.17
9.0;2.52;12.91
10.0;2.98;16.12
11.0;3.37;19.71
12.0;4.24;24.18
13.0;4.66;29.06
14.0;5.47;34.75
15.0;5.95;40.92
16.0;6.85;47.99
17.0;7.31;55.53
18.0;8.11;63.86
19.0;8.41;72.49
20.0;9.04;81.76
21.0;9.33;91.31
22.0;9.87;101.4
23.0;10.13;111.76
24.0;10.59;122.57
25.0;10.78;133.57
26.0;11.15;144.94
27.0;11.34;156.51
28.0;11.66;168.39
29.0;11.83;180.45
30.0;12.14;192.81
31.0;12.31;205.34
32.0;12.63;218.2
33.0;12.78;231.2
34.0;13.04;244.47
35.0;13.18;257.88
36.0;13.41;271.52
37.0;13.53;285.27
38.0;13.68;299.18
39.0;13.77;313.16
40.0;13.91;327.3
41.0;14.0;341.51
42.0;14.12;355.85
43.0;14.18;370.26
